"product","brand","category"
"olympus product range","kr marketing (del)","consumer durables/home appliances"
"aravai masala","kr tasty foods","spices"
"kr vastu","kr vastu","astrologers"
"kr ventures","kr ventures pvt ltd","properties/real estates"
"kra shubhtithi wedding jewellery","kra jewellery","retail outlets-jewellers"
"leebae cookies","kraam foods pvt ltd","biscuits"
"krafts perfekt/ezee","kraft foundation","pesticides"
"krafts perfekt","kraft foundation","pesticides"
"oscar mayer deli fresh","kraft heinz","frozen foods"
"the great indian wedding game","krafton inc","ecom-gaming"
"battlegrounds mobile india","krafton inc","ecom-gaming"
"the callisto protocol","krafton inc","ecom-gaming"
"kranthi keen coaching","kranthi educational soc","educ-coaching centre/comp exam"
"kranthi keen residen sch for sainik & navodaya-sh","kranthi navodaya sainik coaching centre","educ-schools"
"kranti ekta parishad (mp)","kranti ekta parishad (mp)","associations/social/cultural org"
"kranti milk processing co-op society","kranti milk processing co-op society ltd","fmcg-corporate"
"krantiveera sangolli rayanna balaga","krantiveera sangolli rayanna balaga","associations/social/cultural org"
"the game of models","kraps entertainment","events-fashion/lifestyle"
"krasa centrade","krasa group","properties/real estates"
"india gate classic basmati rice","krbl limited","packaged rice"
"india gate uplife gut-pro oil","krbl limited","edible oil"
"india gate super basmati rice","krbl limited","packaged rice"
"grains of hope (india gate)","krbl limited","fmcg-corporate"
"india gate basmati rice","krbl limited","packaged rice"
"india gate brown rice","krbl limited","packaged rice"
"india gate rameez","krbl limited","packaged rice"
"roman island anilaa fashion","krd export pvt ltd","retail outlets-clothing/textiles/fashion"
"kreamz barasat","kreamz barasat","retail outlets-juice/bakery shops/icecrm"
"kreamz","kreamz confectionery pvt ltd","retail outlets-juice/bakery shops/icecrm"
"face 2 face multi asset trading conclave","kredent infoedge pvt ltd","events-others"
"face 2 face mega trading conclave","kredent infoedge pvt ltd","events-others"
"face 2 face stock market conclave","kredent infoedge pvt ltd","events-conferences/seminars"
"elearn markets","kredent infoedge pvt ltd","educ-ecom-education"
"stockedge pro","kredent infoedge pvt ltd","ecom-financial services"
"stock edge","kredent infoedge pvt ltd","securities/sharebroking orgn"
"reema food products range","kreol group","food products range"
"kri borewell pump set","kri pumps","pumps"
"gramin vikas trust (kribhco)","kribhco","social advertisements-govt"
"kribhco(krushak bharti coop)","kribhco","agri-corporate"
"kribhco urea","kribhco","fertilizers"
"kripa overseas","kripa overseas consultancy services pvt ltd","prof serv-educ/immigration consultants"
"apple city","krish housing and properties","properties/real estates"
"cosmo city","krish housing and properties","properties/real estates"
"crown city (krish housing)","krish housing and properties pvt ltd","properties/real estates"
"krish musicals","krish musicals","retail outlets-others"
"krisha hotel/prashanth hotel","krisha hotel/prashanth hotel","hotels"
"bio plus madikai","krishi bhavan madikai","fertilizers"
"krishi darshan farm equipments","krishi darshan & co","farm equipments"
"elza foods","krishi enterprises (changanacherry)","food products range"
"krishi nutrition","krishi nutrition company private limited","agri-corporate"
"krishi cattle feed","krishi nutrition company pvt ltd","animal feed"
"flick super fungicide","krishi rasayan exports (p) ltd","fertilizers"
"sankalp retail store","krishi rasayan exports (p) ltd","retail outlets-agriculture"
"krishi rasayan group","krishi rasayan exports (p) ltd","agri-corporate"
"paushak bloom fresh","krishi rasayan exports (p) ltd","fertilizers"
"paushak super star","krishi rasayan exports (p) ltd","fertilizers"
"k max energy","krishi rasayan exports (p) ltd","fertilizers"
"k max super","krishi rasayan exports (p) ltd","fertilizers"
"talextra","krishi rasayan exports (p) ltd","fertilizers"
"krishi readymix concrete","krishi readymix concrete","bldg/indus/land mat-corporate"
"krishi upaj mandi bhatapara","krishi upaj mandi bhatapara","associations/social/cultural org"
"krishi upaj mandi samiti (alampur)","krishi upaj mandi samiti (alampur)","associations/social/cultural org"
"krishi upaj mandi samiti (chhattisgarh)","krishi upaj mandi samiti (chhattisgarh)","associations/social/cultural org"
"bisaan","krishi utthan farmers producer co ltd","agri products range"
"krishi vibhag jilla panchayat bhatapara","krishi vibhag jilla panchayat bhatapara","social advertisements-govt"
"krushik (baramati)","krishi vigyan kendra (baramati)","events-agriculture"
"krishi vigyan kendra (nagina)","krishi vigyan kendra (nagina)","social advertisements-govt"
"krishinishta parivar mahada","krishinishta parivar mahada","associations/social/cultural org"
"krishitha entertainment","krishitha entertainment pvt ltd","prof serv-others"
"krishna aarati seva samiti","krishna aarati seva samiti","associations/social/cultural org"
"krishna academy (ajm)","krishna academy (ajm)","miscellaneous"
"krishna academy (pandhana)","krishna academy (pandhana)","educ-coaching centre/comp exam"
"krishna bakery","krishna bakery","retail outlets-juice/bakery shops/icecrm"
"krishna chaitanya edu inst-ml","krishna chaitanya edu inst","educ-multiple courses"
"krishna inst of eng & tec-ml","krishna charitable society","educ-multiple courses"
"roja dishwasher/dishwash bar","krishna chemicals (kol)","scourers"
"roja detergent powder","krishna chemicals (kol)","washing powders/liquids"
"krishna defence and allied industries-ipo","krishna defence and allied industries ltd","public issues"
"krishna eye foundation","krishna eye foundation","hospital/clinics"
"krishna fashion","krishna fashion","retail outlets-clothing/textiles/fashion"
"krishna haveli restaurant","krishna haveli restaurant","restaurants/lodges"
"krishna heart & general hospital (jpr)","krishna heart & general hospital (jpr)","hospital/clinics"
"ret hyundai car (krishna)","krishna hyundai","ret auto-cars"
"tenali thrible horse orid dall","krishna industries","cereals/pulses"
"tdh anubandham","krishna industries","events-others"
"kims (krishna inst of med sci)-ipo","krishna inst of med sciences ltd","public issues"
"kims sunshine hospitals","krishna inst of med sciences ltd","hospital/clinics"
"kims manavata hospital","krishna inst of med sciences ltd","hospital/clinics"
"konark iodised salt","krishna international (kol)","branded salts"
"krishna intl exim","krishna intl exim","corporate/brand image"
"krishna intl sch (agh)-sh","krishna intl sch (agh)","educ-schools"
"krishna kanta handiqui jr clg-sh","krishna kanta handiqui jr clg","educ-schools"
"krishna k handiqu st open univ-gv","krishna kanta handiqui state open univer","educ-govt universities/colleges"
"xxxl/hi power horse urad dal","krishna kumar agro prod","cereals/pulses"
"krishna milk union","krishna milk union","associations/social/cultural org"
"krishna nursing home & gdr hospital","krishna nursing home & gdr hospital","hospital/clinics"
"krishna park group","krishna park group","corporate/brand image"
"krishna park resort","krishna park resort","hotels"
"gediya hand sanitizer","krishna perfumery & cosmetics","toilet liquids"
"gediya hand sanitizer","krishna perfumery & cosmetics","hand sanitizers"
"krishna pillai associates","krishna pillai associates","prof serv-consultants"
"krishna pradeeps 21st century ias","krishna pradeeps 21st century ias","educ-coaching centre/comp exam"
"krishna prakash mitra mandal","krishna prakash mitra mandal","associations/social/cultural org"
"krishna public sch (bhilai)-sh","krishna public sch (bhilai)","educ-schools"
"krishna public sch (raipur)-sh","krishna public sch (raipur)","educ-schools"
"krishna real estate agent","krishna real estate agent","prof serv-real estate consultants"
"krishna rotary blood bank","krishna rotary blood bank","hospital/clinics"
"goldi-333 cotton seed","krishna seeds farm","seeds/planting material"
"goldi 21 castor seeds","krishna seeds farm","seeds/planting material"
"nagraj cotton seeds","krishna seeds farm","seeds/planting material"
"krishna steel safe (ahm)","krishna steel safe","furniture related items"
"666 brand rice","krishna teja food products","packaged rice"
"krishna teja rice","krishna teja products","packaged rice"
"krishna the silk store","krishna the silk store","retail outlets-clothing/textiles/fashion"
"anil cholam vermicelli/kambu vermicelli","krishna traders","vermicillies"
"anil thina vermicelli/varagu vermicelli","krishna traders","vermicillies"
"anil wheat poori flour","krishna traders","branded atta"
"anil wheat dosa flour","krishna traders","branded atta"
"anil kozhukkattai mix","krishna traders","instant mix"
"anil ragi vermicelli","krishna traders","vermicillies"
"anil murukku mavu","krishna traders","instant mix"
"anil roasted rava","krishna traders","branded atta"
"anil chakki fresh","krishna traders","branded atta"
"anil vermicelli","krishna traders","vermicillies"
"anil samba rava","krishna traders","branded atta"
"anil rava","krishna traders","branded atta"
"anil atta","krishna traders","branded atta"
"ret eicher tractors (krishna trading co)","krishna trading co (por)","ret auto-tractors"
"krishna vishwa vidyapeeth-md","krishna vishwa vidyapeeth","educ-medical colleges"
"cookme ready to cook chowmein/chilli chicken masal","krishnachandra duta pvt ltd","spices"
"cookme chinese magic masala/non veg curry paste","krishnachandra duta pvt ltd","food products range"
"cookme ready to cook handi biryani/chap masala","krishnachandra duta pvt ltd","spices"
"cookme ready to cook alurdom/radhaballavi","krishnachandra duta pvt ltd","instant mix"
"cookme immuno booster mixture of spices","krishnachandra duta pvt ltd","spices"
"cookme ready to cook meat/pulao masala","krishnachandra duta pvt ltd","spices"
"cookme ready to cook chicken curry","krishnachandra duta pvt ltd","instant mix"
"cookme ready to cook chana masala","krishnachandra duta pvt ltd","spices"
"cookme ready to cook sukto masala","krishnachandra duta pvt ltd","spices"
"cookme chinese magic masala","krishnachandra duta pvt ltd","spices"
"cookme ginger garlic paste","krishnachandra duta pvt ltd","cooking paste"
"cookme ready to cook sabji","krishnachandra duta pvt ltd","instant mix"
"cookme ready to cook tarka","krishnachandra duta pvt ltd","instant mix"
"cookme xclusive estore","krishnachandra duta pvt ltd","ecom-food/grocery"
"duta super gold spices","krishnachandra duta pvt ltd","spices"
"duta coriander powder","krishnachandra duta pvt ltd","spices"
"cookme kashmiri mirch","krishnachandra duta pvt ltd","spices"
"duta turmeric powder","krishnachandra duta pvt ltd","spices"
"cookme mustard paste","krishnachandra duta pvt ltd","cooking paste"
"cookme masala dhoka","krishnachandra duta pvt ltd","instant mix"
"cookme garam masala","krishnachandra duta pvt ltd","spices"
"duta masala papad","krishnachandra duta pvt ltd","papads"
"cookme posto bata","krishnachandra duta pvt ltd","spices"
"cookme spices","krishnachandra duta pvt ltd","spices"
"cookme besan","krishnachandra duta pvt ltd","branded atta"
"cookme papad","krishnachandra duta pvt ltd","papads"
"cookme","krishnachandra duta pvt ltd","fmcg-corporate"
"duta","krishnachandra duta pvt ltd","spices"
"krishnagar pub sch (nadia)-sh","krishnagar pub sch (nadia)","educ-schools"
"krishnaguru adhyatmik vishwavidyalaya-ml","krishnaguru foundation","educ-multiple courses"
"krishnaguru vidyajyoti-sh","krishnaguru foundation","educ-schools"
"krishnapatnam port co","krishnapatnam port co ltd","corporate-industrial/b2b"
"youtube.com/indian imprints","krishnaswamy associates pvt ltd","ecom-media/entertainment/social media"
"indian imprints.com","krishnaswamy associates pvt ltd","ecom-other services"
"shri krishnaswamy clg for women-ml","krishnaswamy educational trust","educ-multiple courses"
"shri krishnaswamy clg for wom-ml","krishnaswamy educational trust","educ-multiple courses"
"shri krishnaswamy vidyashram-sh","krishnaswamy educational trust","educ-schools"
"sri krishnaswamy vidyashram-sh","krishnaswamy educational trust","educ-schools"
"garbotech waste management project","krishnatheeram eco tourism promoters pvt ltd","corporate/brand image"
"krishnaveni degree clg-ml","krishnaveni degree clg","educ-multiple courses"
"krishnaveni talent sch (mancherial)-sh","krishnaveni talent sch (mancherial)-sh","educ-schools"
"krishnaveni clg/triveni talent sch-sh","krishnaveni/triveni edu insts","educ-schools"
"krispy hens","krispy hens","fast food outlets"
"krisumi waterfall residences","krisumi corporation pvt ltd","properties/real estates"
"krisva e scooter","krisva motors pvt ltd","auto-two wheelers"
"krithika infra developers","krithika infra developers pvt ltd","properties/real estates"
"krm home makers","krm home makers pvt ltd","properties/real estates"
"krm 99 delights","krm home makers pvt ltd","properties/real estates"
"krm housing & developers","krm housing & developers pvt ltd","properties/real estates"
"krn heat exchanger & refrigeration-ipo","krn heat exchanger & refrigeration ltd","public issues"
"krona household items","krona plastics pvt ltd","household products"
"krona water tank","krona plastics pvt ltd","loft tanks"
"krona furnitures","krona plastics pvt ltd","furnitures"
"krona wood","krona plastics pvt ltd","furniture related items"
"kross 9 gym","kross 9 gym","fitness equipments/clinics"
"kross-ipo","kross ltd","public issues"
"krown black magic","krown biscuits pvt ltd","biscuits"
"krp infra","krp infra projects pvt ltd","properties/real estates"
"chalo tanuku","krps & vmrrrp organisation","events-others"
"krs cargo llc","krs cargo llc","courier services"
"krs group (faridabad)","krs group (faridabad)","properties/real estates"
"krsnaa diagnostics-ipo","krsnaa diagnostics pvt ltd","public issues"
"krsnaa diagnostics","krsnaa diagnostics pvt ltd","hospital/clinics"
"ultra bricks","krupa blocks","building materials/systems"
"krupajal group of inst-ml","krupajal group of inst","educ-multiple courses"
"mamas choice rice bran oil","krupalu rice industries pvt ltd","edible oil"
"krupanidhi group of inst-ml","krupanidhi educational trust","educ-multiple courses"
"krushi jordar/overflow","krushi crop science","pesticides"
"krushi prado","krushi crop science","pesticides"
"calsiphos bio npk/calsiphos zsb","krushi india corp","fertilizers"
"calsiphos black gold/calsiphos black carbon","krushi india corporation","fertilizers"
"krushi udyog vibhag (jintur)","krushi udyog vibhag (jintur)","associations/social/cultural org"
"krushi utpanna bazar samiti (dhule)","krushi utpanna bazar samiti (dhule)","corporate/brand image"
"krushi utpanna bazar samiti (parli vaijnath)","krushi utpanna bazar samiti (parli vaijnath)","corporate/brand image"
"krushi utpanna bazar samiti bodwad","krushi utpanna bazar samiti bodwad","corporate/brand image"
"krushi utpanna bazar samiti hinganghat","krushi utpanna bazar samiti hinganghat","corporate/brand image"
"indrapur krushi mahotsav","krushi utpanna bazar samiti indrapur","events-agriculture"
"krushi utpanna bazar samiti sangamner","krushi utpanna bazar samiti sangamner","corporate/brand image"
"krushi utpanna bazar samiti solapur","krushi utpanna bazar samiti solapur","corporate/brand image"
"krushi utpanna bazar samiti umri","krushi utpanna bazar samiti umri","corporate/brand image"
"krushi village world","krushi village world","retail outlets-departmental stores"
"creative indians","krushi village world","events-others"
"krushitek k gib","krushitek pvt ltd","pesticides"
"neutraspread","krushitek pvt ltd","pesticides"
"growthstim","krushitek pvt ltd","pesticides"
"mycozal","krushitek pvt ltd","fertilizers"
"krushna kunj (krushna dham-opelox)","krushna dham builders&developers-opelox realty","properties/real estates"
"krushna furniture and hardware","krushna furniture and hardware","retail outlets-home/interiors/furniture"
"krv group of companies/krv educ trust","krv group of companies/krv educ trust","corporate/brand image"
"krysta crop solutions","krysta crop solutions","agri-corporate"
"krystal integrated services-ipo","krystal intergated services ltd","public issues"
"krystal integrated services","krystal intergated services ltd","corporate/brand image"
"double chabi basmati rice","ks agro impex","packaged rice"
"ksa 9355","ks agrotech pvt ltd","farm equipments"
"ks granite industries","ks granite industries","bldg/indus/land mat-corporate"
"ksb pump","ksb ltd","pumps"
"swadesha aahara natural health mix","ksc entreprenuer","food products range"
"vesta ice cream","kse limited","ice cream/frozen desserts"
"ksfe mahila samriddhi trio plan","ksfe","banking-services & products"
"ksfe suvarnna jubilee chits","ksfe","chit fund/benefit fund"
"ksfe smart gold over draft","ksfe","loans-mortgage"
"ksfe diamond chitty 2.0","ksfe","chit fund/benefit fund"
"ksfe loan against gold","ksfe","loans-mortgage"
"ksfe premium gold loan","ksfe","loans-mortgage"
"ksfe ponnonam chitty","ksfe","chit fund/benefit fund"
"ksfe sanjeevanam-fd","ksfe","fixed deposits"
"ksfe harmoney chits","ksfe","chit fund/benefit fund"
"ksfe diamond chitty","ksfe","chit fund/benefit fund"
"ksfe chitty scheme","ksfe","chit fund/benefit fund"
"ksfe pravasi chits","ksfe","chit fund/benefit fund"
"ksfe galaxy chitty","ksfe","chit fund/benefit fund"
"ksfe max gold loan","ksfe","loans-mortgage"
"ksfe bhadratha","ksfe","chit fund/benefit fund"
"ksfe power app","ksfe","ecom-other services"
"ksfe nettam-fd","ksfe","fixed deposits"
"ksfe","ksfe","nbfcs-corporate"
"ksh intl-ipo","ksh intl ltd","public issues"
"kshatriya kalchuri samaj","kshatriya kalchuri samaj","associations/social/cultural org"
"kshatriya samaj samuh lagna","kshatriya samaj samuh lagna samiti","events-others"
"alluri sitarama raju jayanti sambaralu","kshatriya seva samithi (telangana/ap)","events-others"
"kshatriya seva samithi (ts & ap)","kshatriya seva samithi (ts & ap)","associations/social/cultural org"
"kshema ayurvedic hair oil","kshema ayurvedics","hair oils"
"kshema general insurance fasal bhima","kshema general insurance ltd","insurance gen-agriculture"
"kshema sukriti crop insurance","kshema general insurance ltd","insurance gen-agriculture"
"kshetra center for learning","kshetra center for learning","educ-coaching centre/comp exam"
"kshitij polylines-ipo","kshitij polylines ltd","public issues"
"ksj kumarasamy achari jewellers","ksj kumarasamy achari jewellers","retail outlets-jewellers"
"ksk masala","ksk exports","spices"
"ksk mount castle","ksk infra properties","properties/real estates"
"ksk sri ganesh jewellery mart","ksk sri ganesh jewellery mart","retail outlets-jewellers"
"holy trinity intl sch (kanyakumari)-sh","ksm educational and charitable trust","educ-schools"
"ksn abhimani balaga (maski)","ksn abhimani balaga (maski)","associations/social/cultural org"
"strongo solid bricks","ksp eco bricks","building materials/systems"
"ksr hi-tech sr sec cbse sch-sh","ksr educational & charitable trust","educ-schools"
"ksr educational inst-ml","ksr educational & charitable trust","educ-multiple courses"
"fish theme park","ksr global aquarium","events-others"
"kt builders","kt builders","properties/real estates"
"kt global sch-sh","kt global sch","educ-schools"
"kt super speciality hospital","kt super speciality hospital","hospital/clinics"
"ktec oil laboratories","ktec oil laboratories","corporate/brand image"
"ktr seva samiti","ktr seva samiti","associations/social/cultural org"
"kts steel trader","kts steel trader","retail outlets-building material/systems"
"deepa jyothi lamp oil","ktv oil mills","edible oil"
"sunland sunflower oil","ktv oil mills","edible oil"
"sunland balanz","ktv oil mills","edible oil"
"kuber dairy","kuber dairy","retail outlets-food"
"kuber mama miya","kuber food products ind p ltd","pan masala /zarda /gutkha"
"kuber spices","kuber food products ind p ltd","spices"
"kuber product range","kuber grains & spices pvt ltd","fmcg products range"
"kuber group","kuber group co","corporate/brand image"
"kuber plastic","kuber plastic pvt ltd","corporate-industrial/b2b"
"kubera silk and saree & kumkum gold jewel","kubera silk and saree & kumkum gold jewel","corporate/brand image"
"mahakubera yagam","kubera temple (pkd)","events-others"
"kuberamitra nidhi","kuberamitra nidhi limited","corporate/brand image"
"kuberan sankalp wedding collection","kuberan silks","retail outlets-clothing/textiles/fashion"
"kuberan silks","kuberan silks","retail outlets-clothing/textiles/fashion"
"kuberans film city goa","kuberans tech ventures pvt ltd","prof serv-others"
"kubota harvesking","kubota agricultural machinery india","farm equipments"
"kubota tractors","kubota agricultural machinery india","auto-tractors"
"kubota neostar","kubota agricultural machinery india","auto-tractors"
"kubota mu5502","kubota agricultural machinery india","auto-tractors"
"kubota mu5501","kubota agricultural machinery india","auto-tractors"
"kubota mu4501","kubota agricultural machinery india","auto-tractors"
"kubota a211 n","kubota agricultural machinery india","auto-tractors"
"kubra construction","kubra construction pvt ltd","properties/real estates"
"anakangkhita(book)","kuch publication","publications/books"
"ret suzuki two wheeler (kudanthai)","kudanthai suzuki","ret auto-two wheelers"
"kudos v-1 range of products","kudos laboratories india","otc products range"
"kudos ime-9 tablets","kudos laboratories india","otc products range"
"kudos pt 2 tablets","kudos laboratories india","otc products range"
"kudos ayurveda","kudos laboratories india","tele shopping"
"kuku fm","kuku fm inc","ecom-media/entertainment/social media"
"kulanjiyappa ias academy","kulanjiyappa ias academy","educ-coaching centre/comp exam"
"kular clg of nursing-md","kular clg of nursing","educ-medical colleges"
"kular hospital","kular hospital","hospital/clinics"
"kular pub sch-sh","kular medical education & research society","educ-schools"
"kulariya parivar","kulariya parivar","gen-personal greetings/announcements"
"kulcha express","kulcha express","restaurants/lodges"
"kulcha kulture","kulcha kulture","restaurants/lodges"
"kulgam municipal council","kulgam municipal council","social advertisements-govt"
"kulgaon badlapur nagar parishad","kulgaon badlapur nagar parishad","social advertisements-govt"
"rai chicken","kuljas rai poultry farm","frozen foods"
"kultham shoes","kultham shoes","retail outlets-footwear"
"kulvriksh","kulvriksh pvt ltd","ecom-other services"
"kulwinder electronics security system","kulwinder electronics security system","retail outlets-electronics/durables"
"sunright refined sunflower oil","kumar agro company","edible oil"
"sun right refined sunflower oil","kumar agro refinery pvt ltd","edible oil"
"r l haldi powder","kumar audhyogik vikas pvt ltd","spices"
"r l masaala","kumar audhyogik vikas pvt ltd","spices"
"cb-r l masale-main atal hoon","kumar audyogik vikas pvt ltd","spices"
"r l haldi powder","kumar audyogik vikas pvt ltd","spices"
"r l masale","kumar audyogik vikas pvt ltd","spices"
"kumar electricals (war)","kumar electricals (war)","retail outlets-industrial/b2b"
"kumar eng med sch (nuzvid)-sh","kumar eng med sch (nuzvid)","educ-schools"
"kumar three wheeler","kumar engineering (guw)","auto-commercial vehicles"
"kumar e-rickshaw","kumar engineering (guw)","auto-commercial vehicles"
"kumar tractor","kumar engineering (guw)","auto-tractors"
"kumar enterprises (del)","kumar enterpris (del)","retail outlets-automobiles"
"kumar fancy store (perambalur)","kumar fancy store (perambalur)","retail outlets-clothing/textiles/fashion"
"kumar korralu kudumba samsthalu","kumar korralu kudumba samsthalu","associations/social/cultural org"
"subram packaged drinking water","kumar pumps & motors","mineral water"
"kumar pumps & motors","kumar pumps & motors","corporate-industrial/b2b"
"s s brand rice","kumaraguru hitech rice industries","packaged rice"
"kumaran brand karuvadu","kumaran dry fish company","food products range"
"kumaran travels (mdr)","kumaran travels (mdr)","travel & tourism"
"kumbakonam iyer coffee","kumbakonam iyer coffee","coffee"
"kumbakonam metal mart","kumbakonam metal mart","retail outlets-others"
"kumbakonam murari sweets","kumbakonam murari sweets","restaurants/lodges"
"kumbarara sangha (blr)","kumbarara sangha (blr)","associations/social/cultural org"
"kumra dental solutions (rpr)","kumra dental solutions (rpr)","hospital/clinics"
"kumudam digital","kumudam publications pvt ltd","publications/books"
"kunal sarmalkar","kunal sarmalkar","gen-personal greetings/announcements"
"kunal vaastu kendra","kunal vaastu kendra","astrologers"
"kunda gram panchayat","kunda gram panchayat","social advertisements-govt"
"kundan kidney care centre","kundan ayurvedic centre","hospital/clinics"
"fybros four-x series switches","kundan cab pvt ltd","electrical switches/parts"
"norwood range of prods","kundan cab pvt ltd","electrical switches/parts"
"fybros switches","kundan cab pvt ltd","electrical switches/parts"
"fybros fan","kundan cab pvt ltd","fans"
"alainne room freshener","kundan care products ltd","air fresheners"
"kundan refined groundnut oil","kundan edible oil industries","edible oil"
"zeya jewellery (kundan)","kundan gold pvt ltd","retail outlets-jewellers"
"kundan refinery","kundan gold pvt ltd","retail outlets-jewellers"
"mygoldkart.com","kundan gold pvt ltd","ecom-financial services"
"kundan group of inst-ml","kundan group of inst","educ-multiple courses"
"kundan jewellers","kundan jewellers","retail outlets-jewellers"
"protostar protein powder","kundan life care","vitamins/tonics/health supplem"
"kundan rajput","kundan rajput","gen-personal greetings/announcements"
"kundans","kundans","retail outlets-sweet/namkin shops"
"kundu special","kundu special","travel & tourism"
"kunfan tuition centre","kunfan tuition centre","educ-coaching centre/comp exam"
"kungumam thozhi magazine","kungumam publications pvt ltd","publications/books"
"kungumam magazine","kungumam publications pvt ltd","publications/books"
"sonata ice cream","kunjamma foods & creams p ltd","ice cream/frozen desserts"
"kunjettan madathiparambil arcade","kunjettan madathiparambil arcade","retail outlets-others"
"kunnath pharmaceutical","kunnath pharmaceutical","pharma/healthcare-corporate"
"musli power xtra","kunnath pharmaceutical","health stimulant/ginseng"
"kmct clg of hotel mgmt and cat tech-ot","kunnhitharuvai memo charit trust (kmct)","educ-other courses"
"kmct group of inst-ml","kunnhitharuvai memo charit trust (kmct)","educ-multiple courses"
"kunstocom air cooler","kunstocom india ltd","air coolers"
"cambridge convent sch (sardarshahr)-sh","kuntak shikshan sansthan","educ-schools"
"cambridge clg (sardarshahr)-ml","kuntak shikshan sansthan","educ-multiple courses"
"kgmt multispeciality hospital","kuntal goswami memorial public charitable trust","hospital/clinics"
"dishari","kuntal karar friends welfare society","associations/social/cultural org"
"kuntala devi sch of nursing-md","kuntala devi sch of nursing","educ-medical colleges"
"kunwars global sch-sh","kunwars educatonal foundation","educ-schools"
"kupcake store","kupcake store","retail outlets-sweet/namkin shops"
"kuppam care hospital","kuppam care hospital","hospital/clinics"
"kuppasa interior works","kuppasa interior works","prof serv-consultants"
"g kuppuswamy naidu memo hospital","kuppuswamy naidu charity trust","hospital/clinics"
"orthocure tablets & oil","kure wel pharma","otc products range"
"kuriakose elias eng med sch-sh","kuriakose elias eng med sch","educ-schools"
"kurians opticals","kurians opticals","retail outlets-optical"
"kurichi furnitures & furnishings","kurichi furnitures & furnishings","retail outlets-home/interiors/furniture"
"kurikkal ambiente","kurikkal ambiente","retail outlets-home/interiors/furniture"
"kurinji educ inst-ml","kurinji educ inst","educ-multiple courses"
"kurlon duorest mattress","kurlon enterprise ltd","mattresses/foam"
"kurl-on orthomagic","kurlon enterprise ltd","mattresses/foam"
"kurl-on mattresses","kurlon enterprise ltd","mattresses/foam"
"kurl-on matresses","kurlon enterprise ltd","mattresses/foam"
"kurmam infra projects","kurmam infra projects","properties/real estates"
"kurnool heart multi spl hospital","kurnool heart multi spl hospital","hospital/clinics"
"kurnool municipal corp","kurnool municipal corp","social advertisements-govt"
"kurri annapurnamma govinda reddy cold storage","kurri annapurnamma govinda reddy cold storage pvt","prof serv-others"
"kursh federation of india","kursh federation of india","corporate/brand image"
"kurthalam peeta shakha","kurthalam peeta shakha","temples/spiritual"
"international gita mahotsav (kurukshetra dev brd)","kurukshetra devlopment board","social advertisements-govt"
"kusal chowdhary and associates","kusal chowdhary and associates","prof serv-advertising agencies"
"kusal chowdhury & associates","kusal chowdhury & associates","prof serv-advertising agencies"
"krishiv edible oil range","kush proteins pvt ltd","edible oil"
"kushal palli ajodhya hilltop","kushal palli ajodhya hilltop","hotels"
"siva shakthi balm","kushala enterprises","rubs and balms"
"kushals fashion jewellery","kushals retail pvt ltd","retail outlets-jewellers"
"kushi masala","kushi foods and products","spices"
"kushi nighties & garments","kushi nighties & garments","retail outlets-clothing/textiles/fashion"
"kushinagar mahotsav","kushinagar mahotsav","events-others"
"kusuma foundation (blr)","kusuma foundation (blr)","associations/social/cultural org"
"kutaisi university","kutaisi university","educ-foreign education"
"kutch chemical industries","kutch chemical industries ltd","corporate-industrial/b2b"
"kuttiyil travels","kuttiyil travels","travel & tourism"
"urja lassi/taak","kutwal foods pvt ltd","sweets/other milk products"
"kv infra","kv infra","properties/real estates"
"k v naveen kiran abhimanigalu","kv naveen kiran abhimanigalu","associations/social/cultural org"
"kvm jewellers","kvm jewellers","retail outlets-jewellers"
"kvm centre for inner peace & deaddiction","kvm trust","hospital/clinics"
"kvn foundation","kvn foundation","social advertisements-ngos"
"kvnern project","kvnern project pvt ltd","properties/real estates"
"kvnr infra developers","kvnr infra developers","properties/real estates"
"kvp silks","kvp silks","retail outlets-clothing/textiles/fashion"
"kvr constructions","kvr constructions","properties/real estates"
"kvr luxe","kvr developers","properties/real estates"
"kvr group (kvr grp)","kvr group","corporate/brand image"
"kvr yuvasena","kvr yuvasena","political ads"
"maestro electric multi cooker","kvrs associates","gas stoves/cooktops/induction cookers"
"kvs furniture","kvs furniture","retail outlets-home/interiors/furniture"
"kvt heart foundation & diagnostics","kvt heart foundation & diagnostics","hospital/clinics"
"kvt township","kvt homes and estates pvt ltd","properties/real estates"
"kwality realtors","kwality realtors","properties/real estates"
"beco natural dishwash liquid","kwick living (i) ltd","scourers"
"beco natural laundry liquid","kwick living (i) ltd","washing powders/liquids"
"beco natural floor cleaner","kwick living (i) ltd","toilet/floor cleaners"
"kyky creations","kyky creations","retail outlets-clothing/textiles/fashion"
"kyndryl","kyndryl inc","it-corporate"
"nisarg vatika (kyts)","kyts ventures pvt ltd","properties/real estates"
"l & s constructions","l & s constructions","properties/real estates"
"anand silks (eral)","l a groups (eral)","retail outlets-clothing/textiles/fashion"
"l ananth jewellery","l ananth jewellery","retail outlets-jewellers"
"l anant jewellery","l ananth jewellery","retail outlets-jewellers"
"lady bird sanitary napkin pads","l b hygiene care pvt ltd","sanitary napkins"
"l gopal gold & diamond","l gopal gold & diamond","retail outlets-jewellers"
"l gopal jewellers","l gopal jewellers","retail outlets-jewellers"
